Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S10,NB,Medium A,2513,21,21,36,36,46,67,165,183,240,200,172,165,141,184,155,158,145,116,98,32,47,25,26,34
S10,NB,Medium B,720,0,0,0,0,0,20,51,54,74,59,68,60,72,52,53,47,40,26,25,7,4,7,0,1
S10,NB,Heavy A,7828,204,184,193,242,227,309,361,368,429,491,456,448,490,464,329,418,381,331,308,266,251,262,203,213
S10,NB,Heavy B,446,35,26,23,27,23,26,14,22,13,21,14,18,22,18,8,10,15,12,8,2,11,29,19,30
S11,SB,Lights,67441.01,886.34,566.02,408.59,383.11,691.6,1635.27,2991.17,3558.1,3209.57,3330.6,3541.72,3797.43,3876.6,3818.36,3974.88,4390.75,4783.87,4610.06,3902.99,3767.4,3120.39,2474.29,2219.49,1502.41
S11,SB,Medium A,2415.14,28.21,30.94,50.05,45.5,72.8,95.55,121.03,134.68,141.05,178.36,191.1,211.12,180.18,192.92,191.1,103.74,86.45,92.82,76.44,76.44,32.76,28.21,34.58,19.11
S11,SB,Medium B,980.98,10.01,0,3.64,4.55,3.64,20.93,114.66,79.17,73.71,115.57,100.1,66.43,70.98,56.42,57.33,59.15,48.23,16.38,21.84,20.02,4.55,12.74,8.19,12.74
S11,SB,Heavy A,11079.25,356.72,256.62,265.72,304.85,337.61,388.57,384.93,395.85,477.75,648.83,598.78,589.68,640.64,627.9,580.58,509.6,436.8,517.79,573.3,525.07,423.15,467.74,414.96,355.81
S11,SB,Heavy B,235.69,10.92,10.92,6.37,9.1,13.65,13.65,10.01,14.56,15.47,10.01,9.1,12.74,16.38,20.02,10.01,7.28,4.55,8.19,9.1,8.19,4.55,3.64,1.82,5.46
S11,NB,Lights,71848.14,624.26,667.03,438.62,657.93,1569.75,4625.53,5451.81,5392.66,4685.59,3987.62,3820.18,3892.98,3907.54,3707.34,3819.27,3706.43,3476.2,3346.98,3371.55,3190.46,2551.64,2215.85,1651.65,1089.27
S11,NB,Medium A,2596.23,21.84,16.38,22.75,41.86,63.7,93.73,164.71,181.09,188.37,175.63,196.56,229.32,202.02,208.39,149.24,119.21,101.92,66.43,87.36,91,42.77,50.96,47.32,33.67
S11,NB,Medium B,705.25,3.64,2.73,0,3.64,1.82,12.74,67.34,41.86,68.25,56.42,64.61,75.53,52.78,67.34,48.23,50.05,35.49,10.92,13.65,9.1,4.55,1.82,9.1,3.64
S11,NB,Heavy A,11241.23,330.33,298.48,309.4,317.59,385.84,406.77,372.19,266.63,435.89,647.92,697.06,732.55,657.02,677.95,566.93,461.37,522.34,413.14,380.38,596.96,517.79,463.19,408.59,374.92
S11,NB,Heavy B,225.68,2.73,2.73,0,0,0,12.74,15.47,9.1,12.74,6.37,10.92,16.38,24.57,10.01,11.83,6.37,4.55,11.83,7.28,7.28,0,13.65,20.02,19.11
S12,SB,Lights,74111,974,622,449,421,760,1797,3287,3910,3527,3660,3892,4173,4260,4196,4368,4825,5257,5066,4289,4140,3429,2719,2439,1651
S12,SB,Medium A,2654,31,34,55,50,80,105,133,148,155,196,210,232,198,212,210,114,95,102,84,84,36,31,38,21
S12,SB,Medium B,1078,11,0,4,5,4,23,126,87,81,127,110,73,78,62,63,65,53,18,24,22,5,14,9,14
S12,SB,Heavy A,12175,392,282,292,335,371,427,423,435,525,713,658,648,704,690,638,560,480,569,630,577,465,514,456,391
S12,SB,Heavy B,259,12,12,7,10,15,15,11,16,17,11,10,14,18,22,11,8,5,9,10,9,5,4,2,6
S12,NB,Lights,78954,686,733,482,723,1725,5083,5991,5926,5149,4382,4198,4278,4294,4074,4197,4073,3820,3678,3705,3506,2804,2435,1815,1197
S12,NB,Medium A,2853,24,18,25,46,70,103,181,199,207,193,216,252,222,229,164,131,112,73,96,100,47,56,52,37
S12,NB,Medium B,775,4,3,0,4,2,14,74,46,75,62,71,83,58,74,53,55,39,12,15,10,5,2,10,4
S12,NB,Heavy A,12353,363,328,340,349,424,447,409,293,479,712,766,805,722,745,623,507,574,454,418,656,569,509,449,412
S12,NB,Heavy B,248,3,3,0,0,0,14,17,10,14,7,12,18,27,11,13,7,5,13,8,8,0,15,22,21
S13,SB,Lights,83392,776,469,449,628,1192,2150,3009,3756,3772,3627,3776,4288,4456,4886,5963,7109,7250,6575,5751,4181,3380,2479,1958,1512
S13,SB,Medium A,2374,24,19,12,23,45,64,108,171,166,182,182,145,178,156,192,192,151,105,87,51,42,34,23,22
S13,SB,Medium B,908,11,13,6,9,8,21,60,60,60,77,85,85,89,79,60,58,32,23,15,14,11,10,15,7
S13,SB,Heavy A,5065,142,97,103,107,140,166,161,134,247,305,363,339,303,275,321,250,292,230,257,171,184,167,177,134
