Segment,Direction,Class,AADT,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
S9,SB,Heavy A,6690.039571,150,173,176,186.5,217.5,263.5,247.0563738,254.9830576,383.9135037,439.4224115,451.5115951,436.6696079,363.5182228,335.7,309.15,265.5,245.1673709,244.3173396,336.7482493,351.3818389,280.5,214,176,188
S9,SB,Heavy B,442.9027648,23,22,36.5,26,24.5,15.5,7.005379219,9.665422762,24.54689921,22.97314054,17.74499719,11.4411251,18.89004707,14.4,15.3,6.3,8.47027385,7.043382765,17.44535671,33.67674044,17.5,32.5,20,10.5
S9,NB,Lights,66576.90607,447,330.5,400,753.5,1581,4134.6,4294.35,4559.680828,3916.418368,3611.666798,3306.229053,3109,3140.783723,3280.045164,3508,3672.685281,3983.698231,4081.333702,4234.214917,3563.7,2350,2164.5,1329,825
S9,NB,Medium A,2442.356408,27.5,25,32.5,16,54,59.4,108.45,160.1377109,212.6413983,184.3159963,170.0632191,150.5,175.0444383,167.6185178,171.5,143.7957652,143.2418368,127.0585658,116.5889597,56,34,50.5,18.5,38
S9,NB,Medium B,701.3036003,2,1,1.5,1,0.5,21.6,38.7,32.81974287,47.9806232,60.75219988,76.52844858,57.5,70.59012772,59.61941449,56,47.61761404,42.33263905,32.36853196,32.69425854,11.2,0.5,0,6.5,0
S9,NB,Heavy A,6675.740059,160,178,184.5,218.5,169.5,215.55,225.9,291.98254,360.9451427,393.8596009,375.6396398,360.5,386.8148215,386.060143,271.5,336.623529,304.2043132,300.4959236,342.3644054,356.3,257,239.5,191,169
S9,NB,Heavy B,414.7625391,36,19.5,12,22,19.5,20.25,13.95,22.06844779,14.72132757,20.07911691,18.50687972,14.5,20.03233354,15.14919548,10,10.37215355,14.76719967,12.07781043,14.18807446,9.1,5,20.5,17,33.5
S10,SB,Lights,59155.44865,639,476,441,474,612,1413,2850.3,2772.708147,2550.486563,2427.316793,2698.92625,3093.3,3139.2,3466.8,4289.4,5381.1,3700.2,4033.710893,4056.505786,3441.494223,2648,1898,1617,1036
S10,SB,Medium A,2034.346785,15,5,18,30,55,66,117,110.1075438,148.7656023,171.0954524,131.1022646,133.2,129.6,137.7,151.2,153,99.6,88.09600454,121.862108,41.01780905,35,28,14,35
S10,SB,Medium B,589.8979697,1,0,0,0,0,25,48.6,37.36983303,46.77681309,43.9731303,56.64912669,52.2,45.9,45,62.1,37.8,25.2,16.29172687,20.03212734,12.00521241,3,8,3,0
S10,SB,Heavy A,7216.381685,213,218,210,181,229,303,283.5,207.536037,340.4738527,396.5576842,410.3015319,482.4,441,404.1,383.4,358.2,204,229.894368,333.868789,344.1494223,339,266,227,211
S10,SB,Heavy B,384.6778677,16,15,35,30,22,14,6.3,6.005866023,13.03616103,21.58680942,15.37619153,11.7,15.3,15.3,14.4,8.1,9,1.206794583,13.35475156,26.01129355,17,27,17,15
S10,NB,Lights,62490.92681,451,339,374,677,1470,3705.3,5039.1,3149.287153,2829.694943,2916.600716,2878.625693,2900.7,3203.1,3323.7,3446.1,3888,3597.9419,3838.050416,3900.725995,3731,2512,2237,1240,843
S10,NB,Medium A,2220.802204,21,21,36,36,46,60.3,148.5,114.1905189,180.570802,167.5244524,153.8606647,148.5,126.9,165.6,139.5,142.2,119.8212162,104.167957,112.3665925,44.8,47,25,26,34
S10,NB,Medium B,625.9869746,0,0,0,0,0,18,45.9,33.69556296,55.67599728,49.41971345,60.8286349,54,64.8,46.8,47.7,42.3,33.05412861,23.34799036,28.66494705,9.8,4,7,0,1
S10,NB,Heavy A,7225.31213,204,184,193,242,227,278.1,324.9,229.6290217,322.7703085,411.2725306,407.9096693,403.2,441,417.6,296.1,376.2,314.8405751,297.2378773,353.1521477,372.4,251,262,203,213
S10,NB,Heavy B,416.1664272,35,26,23,27,23,23.4,12.6,13.72782195,9.780918441,17.5900675,12.52354248,16.2,19.8,16.2,7.2,9,12.39529823,10.77599555,9.172783057,2.8,11,29,19,30
S11,SB,Lights,74084.66636,1082.328046,763.5979961,551.2146306,516.8404443,899.8336135,2206.086172,4035.283944,6633.67497,2597.951896,2695.918327,2866.807139,4610.68327,4706.808227,4636.095615,4826.135759,5331.068004,3872.252089,3731.563455,3159.233253,3049.481386,3788.649157,3004.18112,2694.813443,1824.164409
S11,SB,Medium A,2731.70264,34.44781255,41.74008339,67.52072313,61.38247557,94.71932774,128.9031987,163.277385,251.0956255,114.1714046,144.3715825,154.6838384,256.333218,218.7671429,234.2355268,232.0257577,125.9568399,69.97602215,75.1321501,61.87353538,61.87353538,39.77584417,34.25142137,41.98561329,23.20257577
